"Title","Year","Category","Format","Version","Studio","Duration","Remark","만든 날짜","Lable","Included","NEW","TrailerLink","Note"
"Avatar: Fire and Ash","2025","TLR","4DX","B","Disney","1min 30sec","Not used because production approval is pending.","2025-07-23 오후 6:50",,,,,
"Tron: Ares","2025","TLR","4DX","4DX","Disney","54sec",,"2025-07-23 오후 7:07",,,,,
"Predator: Badlands","2025","TLR","4DX","D/3","Disney","1min 59sec",,"2025-07-28 오후 2:02",,,,"https://www.imdb.com/video/vi3487352857",
"War 2","2025","TLR","4DX","IN2","Local-India","2min 35sec","2min 35sec","2025-07-31 오후 3:13",,,,"https://www.imdb.com/video/vi2361509913","Please check the trailer length as there is no separate version distinction."
"Zootopia 2","2025","TLR","4DX","C/2","Disney","2min 24sec",,"2025-07-31 오후 3:25",,,,"https://www.imdb.com/video/vi96978969",
"Family Sizzle","2025","TLR","SX",,"Universal","42sec",,"2025-07-31 오후 3:26",,,,,
"Mortal Kombat 2","2026","TLR","4DX","F1/2","Warner","2min 24sec","Red-Band","2025-08-21 오후 9:31",,,,"https://www.imdb.com/video/vi265930777",
"Mortal Kombat 2","2026","TLR","4DX","F2/3","Warner","2min 24sec","Green-Band","2025-08-21 오후 9:31",,,,,
"The Exit 8","2025","TLR","4DX","1","Local-Japan","1min 23sec",,"2025-08-21 오후 9:31",,,,"https://www.imdb.com/video/vi3191195673",
"The Silent Service 2","2025","TLR","4DX","1","Local-Japan","1min 30sec",,"2025-08-21 오후 9:31",,,,,
"The Conjuring: Last Rites","2025","TLR","SX","F1/1","Warner","2min 21sec",,"2025-08-21 오후 9:44",,,,"https://www.imdb.com/video/vi1017825305",
"Demon Slayer - Kimetsu no Yaiba - Infinity Castle","2025","TLR","4DX","3","Local-Japan","1min 25sec",,"2025-08-21 오후 9:55",,,,"https://www.imdb.com/video/vi869910553",
"TEST","2025","기타","4DX","TEST(Version)","TEST(Studio)",,,"2025-09-17 오전 11:36",,,,,
"Tron: Ares","2025","TLR","SX","L/2","Disney","2min 27sec",,"2025-09-18 오후 7:15",,,,"https://www.imdb.com/video/vi383371289",
"Zootopia 2","2025","TLR","4DX","G/3","Disney","2min 25sec",,"2025-10-02 오전 11:58",,,,"https://www.imdb.com/video/vi2316027929/?playlistId=tt26443597&ref_=ext_shr_lnk",
"Wicked: For Good","2025","TLR","4DX","H/4","Universal","2min 26sec",,"2025-10-02 오전 11:59",,,,"https://www.imdb.com/video/vi1745274905",
"Star Wars: The Mandalorian and Grogu","2026","TLR","4DX","A/1","Disney","1min 36sec",,"2025-10-13 오후 5:49",,,,"https://www.imdb.com/video/vi1006946329",
"Predator: Badlands","2025","TLR","4DX","4DX Bumper","Disney","54sec",,"2025-10-13 오후 5:56",,,,,
"G-DRAGON in Cinema [Übermensch]","2025","TLR","SX","F/TW","Local-Korea","30sec","The DCP will be distributed with the SX Wing.","2025-10-21 오전 11:41",,,,,
"Predator: Badlands","2025","TLR","SX","D/3","Disney","1min 59sec",,"2025-10-22 오후 12:24",,,,"https://www.imdb.com/video/vi3487352857",
"Predator: Badlands","2025","TLR","4DX","K/5","Disney","1min 56sec",,"2025-10-22 오후 1:43",,,,"https://www.imdb.com/video/vi1316210713",
"Wicked: For Good","2025","TLR","SX","H/4","Universal","2min 26sec",,"2025-10-22 오후 1:50",,,,"https://www.imdb.com/video/vi1745274905",
"Avatar: Fire and Ash","2025","TLR","4DX","D/2","Disney","2min 35sec",,"2025-10-23 오후 4:34",,,,"https://www.imdb.com/video/vi2953299993",
"Zootopia 2","2025","TLR","SX","G/3","Disney","2min 25sec",,"2025-11-13 오전 10:31",,,,"https://www.imdb.com/video/vi2316027929/?playlistId=tt26443597&ref_=ext_shr_lnk",
"Avatar: Fire and Ash","2025","TLR","4DX","4DX Spot/L","Disney","47sec",,"2025-11-13 오후 3:46",,,,,
,,,,,,,,"2025-11-13 오후 3:48",,,,,
"NATURE","0","Brand TLR","SX","EN-JP",,"60s","The DCP distribution is included for this asset. (made in 2025)","2025-11-14 오후 5:30","2025년 제작",,,,
"Unexpected Journey","2025","TLR","SX","JP",,,"The DCP will be distributed with the SX Wing.","2025-11-14 오후 5:30",,,,,
"Welcome Content-Unexpected Journey","2025","TLR","SX","OV",,,"The DCP will be distributed with the SX Wing.","2025-11-14 오후 5:30",,,,,
"Project Hail Mary","2026","TLR","4DX","E/3","Sony","2min 24sec",,"2025-11-18 오전 11:33",,,,,
"The Super Mario Galaxy Movie ","2026","TLR","4DX","4DX Spot/E","Universal","1min 02sec","E version = -24frames compared to OV","2025-11-18 오전 11:33",,,,,
"Wicked: For Good","2025","TLR","4DX","JP","Universal","60sec",,"2025-11-19 오후 2:02",,,,,
"Avatar: Fire and Ash","2025","TLR","SX","D/N/2","Disney","2min 35sec",,"2025-11-27 오후 1:53",,,,"https://www.imdb.com/video/vi2953299993",
"Avatar: Fire and Ash","2025","TLR","SX","Q/3","Disney","1min 17sec",,"2025-11-27 오후 1:54",,,,,"TLR-D cutdown version"
"NATURE","0","Brand TLR","SX","EN-TR",,"1m 5.875s","Only for ""EMAAR-SCREENX-BRANDTRL_ADV-1-2D_F_TR-XX_20_2K_20251126_MARS_OV""  *the additional scene back and forth ** -12frame offset compared with the OV wing.","2025-11-27 오후 4:23","This is only for the edited DCP from Turkiye CGV",,,,
"EVOLUTION","0","Brand TLR","SX","JP",,"60s","The DCP distribution is included for this asset. (made in 2022)","2025-12-03 오후 3:18","2022년 제작",,,,
"Send Help","2026","TLR","4DX","B/2","Disney","2min 14sec",,"2025-12-12 오후 2:51",,,,,
"Star Wars: The Mandalorian and Grogu","2026","TLR","4DX","B/2","Disney","1min 39sec",,"2025-12-12 오후 2:51",,,,,
"Moana 2026","2026","TLR","4DX","A/1/3","Disney","1min 1sec",,"2025-12-12 오후 2:53",,,,"https://www.imdb.com/video/vi239323161",
"Hoppers","2026","TLR","4DX","E/3","Disney","2min 25sec",,"2025-12-12 오후 2:53",,,,,
"Star Wars: The Mandalorian and Grogu","2026","TLR","4DX","C/3","Disney","1min 46sec",,"2025-12-12 오후 2:59",,,,,
"28 Years Later: The Bone Temple","2026","TLR","SX","A/1","Sony","2min 2sec",,"2025-12-19 오후 7:05",,,,"https://www.imdb.com/video/vi1194248217",
"Kung Fu","2026","TLR","4DX","B","Local-Taiwan","1min 9sec",,"2025-12-19 오후 7:05",,,,,
"Burning Highway","0","Brand TLR","4DX","EN-XX",,"92sec","w/DCP+Code","2026-01-14 오전 11:49",,,,,
"Burning Highway","0","Brand TLR","4DX","()",,"92sec","Please use this when you need to localize DCP","2026-01-14 오전 11:52",,,,,
"Burning Highway","0","Brand TLR","4DX","EN-KR",,"92sec","w/DCP+Code","2026-01-14 오전 11:57",,,,,
"Send Help","2026","TLR","SX","B/2","Disney","2min 14sec",,"2026-01-16 오후 3:49",,,,,
"Kung Fu","2026","TLR","4DX","D","Local-Taiwan","2min 6sec",,"2026-01-21 오후 4:54",,,,,
"Demon Slayer - Kimetsu no Yaiba - Infinity Castle","2026","TLR","SX","30s","Local-Japan","30sec",,"2026-01-21 오후 5:04",,,,,
"Doraemon the Movie: New Novita And The Castle Of The Undersea Devil","2026","TLR","4DX","JP","Local-Japan","1min",,"2026-01-28 오후 3:06",,,,,
"NATURE","0","Brand TLR","SX","MY_XX",,"60s","The DCP distribution is included for this asset. (made in 2025), Same synchronization for OV","2026-01-29 오후 6:33","2025년 제작",,,,
"Kung Fu","2026","TLR","ULTRA","Welcome","Local-Taiwan","3min","The DCP will be distributed with the SX Wing (No Code)","2026-02-02 오후 3:08",,,,,
"Kung Fu","2026","TLR","SX","Welcome","Local-Taiwan","3min","The DCP will be distributed with the SX Wing.","2026-02-02 오후 3:08",,,,,
"Project Hail Mary","2026","TLR","4DX","4","Sony","40sec","Korea ONLY","2026-02-12 오후 1:52",,,,,
