"Title","Year","Category","Format","Version","Studio","Duration","Remark","만든 날짜","Lable","Included","NEW","TrailerLink","Note"
"The End of Oak Street","2026","TLR","SX","2","Warner","2min 26sec",,"2026-07-28 오후 6:24",,,,"https://www.imdb.com/video/vi3597781785",
"Avengers: Doomsday","2026","TLR","4DX","5/E","Disney","2min 25sec",,"2026-07-28 오후 6:26",,"Y",,"https://www.imdb.com/video/vi239258393/",
"Death Whisperer: Saming the Werebeast","2026","TLR","4DX","TH","Local-Thai","1min 35sec",,"2026-08-07 오전 9:29",,,,,
"Thumbelina (92sec)","0","Brand TLR","4DX","EN-KR",,"92sec","w/DCP+Code","2026-08-10 오후 7:23",,,,,
"Thumbelina (92sec)","0","Brand TLR","4DX","EN-XX",,"92sec","w/DCP+Code","2026-08-10 오후 7:22",,,,,
"Thumbelina (92sec)","0","Brand TLR","ULTRA","EN-KR",,"92sec","w/DCP+Code+Wing","2026-08-10 오후 7:23",,,,,
"Thumbelina (60sec)","0","Brand TLR","4DX","EN-XX",,"60sec","w/DCP+Code","2026-08-10 오후 7:23",,,,,
"Thumbelina (45sec)","0","Brand TLR","4DX","EN-XX",,"45sec","w/DCP+Code","2026-08-10 오후 7:23",,,,,
"Thumbelina (92sec)","0","Brand TLR","ULTRA","EN-XX",,"92sec","w/DCP+Code+Wing","2026-08-10 오후 7:23",,,,,
"Thumbelina (60sec)","0","Brand TLR","ULTRA","EN-XX",,"92sec","w/DCP+Code+Wing","2026-08-10 오후 7:23",,,,,
"Thumbelina (45sec)","0","Brand TLR","ULTRA","EN-XX",,"92sec","w/DCP+Code+Wing","2026-08-10 오후 7:24",,,,,
"Cosmic Princess Kaguya!","2026","TLR","SX","30s","Local-Japan","30s",,"2026-08-11 오전 8:42",,,,,
"Avengers: Doomsday","2026","TLR","SX","5/J/E","Disney","2min 25sec",,"2026-08-13 오후 2:26",,"Y",,"https://www.imdb.com/video/vi239258393/",
"Resident Evil","2026","TLR","4DX","4/F","Sony","2min 26sec",,"2026-08-18 오후 10:13",,,,"https://www.imdb.com/video/vi3829713689/",
"Forgotten Island","2026","TLR","SX","2","Universal","2min 31sec",,"2026-09-02 오전 8:53",,,,,
"Resident Evil","2026","TLR","SX","4/F","Sony","2min 26sec",,"2026-09-02 오후 9:29",,,,"https://www.imdb.com/video/vi3829713689/",
"Avengers: Doomsday","2026","TLR","SX","6/U","Disney","2min 12sec",,"2026-09-02 오후 9:30",,"Y",,"https://www.imdb.com/video/vi4290562585/",
"Resident Evil","2026","TLR","SX","S","Sony","2min 26sec","ONLY JP","2026-09-03 오후 2:10",,,,,
"Street Fighter","2026","TLR","SX","A/1","Paramount","2min 28sec",,"2026-09-14 오후 11:54",,"Y",,,
"Avengers ENDGAME Encore","2026","TLR","4DX","E","Disney","1min 39sec",,"2026-09-14 오후 11:55",,"Y",,"https://www.imdb.com/video/vi3769027097",
"Avengers ENDGAME Encore","2026","TLR","SX","E","Disney","1min 39sec",,"2026-09-15 오후 6:43",,"Y","1","https://www.imdb.com/video/vi3769027097",
"Avengers: Doomsday","2026","TLR","4DX","6/U/Q/N(JP)","Disney","2min 12sec",,"2026-09-15 오후 6:49",,"Y","1","https://www.imdb.com/video/vi4290562585/",
"Avengers: Doomsday","2026","TLR","4DX","P","Disney","90sec","ONLY JP","2026-09-15 오후 6:49",,,,,
"Whalefall","2026","TLR","4DX","3/G","Disney","1min 37sec",,"2026-09-15 오후 9:50",,"Y","1","https://www.imdb.com/video/vi999737881",
"Clayface","2026","TLR","4DX","3/F2","Warner","2min 26sec",,"2026-09-15 오후 9:50",,"Y","1","https://www.imdb.com/video/vi725928729",
"Street Fighter","2026","TLR","4DX","6/D","Paramount","2min 27sec",,"2026-09-15 오후 9:50",,"Y","1",,
,,,,,,,,"2026-09-15 오후 10:05",,,,,
